year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver
2019,10,8,Tuesday,11,50,,,wet,,,ap
2019,10,8,Tuesday,13,40,,,wet,,,ap
2019,10,8,Tuesday,7,40,,,bottle,1,oz,ap
2019,10,8,Tuesday,9,20,,,bottle,1,oz,ap
2019,10,8,Tuesday,11,55,,,bottle,1,oz,ap
2019,10,8,Tuesday,13,0,,,bottle,1,oz,ap
2019,10,8,Tuesday,9,23,10,0,nap,,,ap
2019,10,8,Tuesday,12,15,12,40,nap,,,ap
2019,10,8,Tuesday,14,45,15,10,nap,,,ap
2019,9,25,Wednesday,10,30,,,caregiver_change,,,vona_ap
2019,9,25,Wednesday,7,5,,,wet,,,vona
2019,9,25,Wednesday,9,30,,,wet,,,vona
2019,9,25,Wednesday,11,15,,,wet,,,ap
2019,9,25,Wednesday,8,20,,,bottle,2,oz,vona
2019,9,25,Wednesday,9,45,,,bottle,2.5,oz,vona
2019,9,25,Wednesday,8,40,9,30,nap,,,vona
2019,9,25,Wednesday,11,25,NA,NA,nap,,,ap
2019,10,7,Monday,8,20,,,caregiver_change,,,kc_vona
2019,10,7,Monday,6,50,,,dry,,,kc
2019,10,7,Monday,8,20,,,wet,,,kc
2019,10,7,Monday,10,25,,,wet,,,vona
2019,10,7,Monday,12,35,,,wet,,,vona
2019,10,7,Monday,14,32,,,bowel,,,vona
2019,10,7,Monday,8,0,,,bottle,2,oz,kc
2019,10,7,Monday,11,0,,,bottle,3,oz,vona
2019,10,7,Monday,14,0,,,bottle,3,oz,vona
2019,10,7,Monday,9,10,9,43,nap,,,vona
2019,10,7,Monday,12,28,13,22,nap,,,vona
2019,10,3,Thursday,6,45,,,dry,,,ap
2019,10,3,Thursday,8,10,,,wet,,,ap
2019,10,3,Thursday,10,30,,,wet,,,ap
2019,10,3,Thursday,11,20,,,bowel,,,ap
2019,10,3,Thursday,13,0,,,wet,,,ap
2019,10,3,Thursday,8,0,,,bottle,1,oz,ap
2019,10,3,Thursday,11,0,,,bottle,2,oz,ap
2019,10,3,Thursday,12,40,,,bottle,2.5,oz,ap
2019,10,3,Thursday,13,30,,,bottle,2,oz,ap
2019,10,3,Thursday,13,45,,,bowel,,,ap
2019,10,3,Thursday,14,20,,,bowel,,,ap
2019,10,3,Thursday,9,10,10,25,nap,,,ap
2019,10,3,Thursday,14,27,NA,NA,nap,,,ap
2019,10,1,Tuesday,7,55,,,wet,,,ij
2019,10,1,Tuesday,10,5,,,wet,,,ij
2019,10,1,Tuesday,12,37,,,bowel,,,ij
2019,10,1,Tuesday,14,40,,,diaper,,,kc
2019,10,1,Tuesday,14,3,,,bottle,2,oz,kc
2019,10,1,Tuesday,14,3,,,caregiver_change,,,ij_kc
2019,9,24,Tuesday,7,20,,,dry,,,ap
2019,9,24,Tuesday,7,45,,,wet,,,ap
2019,9,24,Tuesday,8,35,,,bowel,,,ap
2019,9,24,Tuesday,10,15,,,bowel,,,ap
2019,9,24,Tuesday,11,55,,,wet,,,ap
2019,9,24,Tuesday,13,40,,,wet,,,ap
2019,9,24,Tuesday,8,25,,,bottle,2,oz,ap
2019,9,24,Tuesday,10,20,,,bottle,2,oz,ap
2019,9,24,Tuesday,12,25,,,bottle,2,oz,ap
2019,9,24,Tuesday,10,35,11,20,nap,,,ap
2019,9,24,Tuesday,14,21,15,3,nap,,,ap
2019,10,2,Wednesday,12,50,,,tylenol,3.75,mL,ij
2019,10,2,Wednesday,14,20,,,caregiver_change,,,ij_kc
2019,10,2,Wednesday,7,17,,,wet,,,ij
2019,10,2,Wednesday,8,30,,,bowel,,,ij
2019,10,2,Wednesday,11,7,,,bowel,,,ij
2019,10,2,Wednesday,12,0,,,bowel,,,ij
2019,10,2,Wednesday,14,10,,,wet,,,ij
2019,10,2,Wednesday,15,10,,,wet,,,kc
2019,10,2,Wednesday,8,10,,,bottle,1,oz,ij
2019,10,2,Wednesday,10,15,,,bottle,2,oz,ij
2019,10,2,Wednesday,12,40,,,bottle,1,oz,ij
2019,10,2,Wednesday,14,44,,,bottle,2,oz,ij
2019,10,2,Wednesday,8,57,10,14,nap,,,ij
2019,10,2,Wednesday,13,23,14,0,nap,,,ij
2019,9,30,Monday,7,5,,,wet,,,vona
2019,9,30,Monday,9,2,,,wet,,,vona
2019,9,30,Monday,10,35,,,bowel,,,vona
2019,9,30,Monday,12,38,,,wet,,,vona
2019,9,30,Monday,9,10,,,bottle,1.5,oz,vona
2019,9,30,Monday,11,30,,,bottle,2,oz,vona
2019,9,30,Monday,9,36,10,10,nap,,,vona
2019,9,30,Monday,13,11,NA,NA,nap,,,vona
2019,9,30,Monday,6,35,,,arrive,,,NA
2019,9,30,Monday,13,5,,,temperature,101.4,degreesF,vona
2019,10,4,Friday,7,15,,,wet,,,vona
2019,10,4,Friday,9,15,,,wet,,,vona
2019,10,4,Friday,10,22,,,bowel,,,vona
2019,10,4,Friday,12,34,,,wet,,,vona
2019,10,4,Friday,13,6,,,bowel,,,vona
2019,10,4,Friday,9,17,,,bottle,1,oz,vona
2019,10,4,Friday,10,48,,,bottle,2,oz,vona
2019,10,4,Friday,13,16,,,bottle,1.5,oz,vona
2019,10,4,Friday,7,52,9,10,nap,,,vona
2019,10,4,Friday,14,9,15,20,nap,,,vona
2019,10,4,Friday,6,43,,,arrive,,,NA
2019,9,23,Monday,7,10,,,wet,,,vona
2019,9,23,Monday,8,4,,,bowel,,,vona
2019,9,23,Monday,10,5,,,wet,,,vona
2019,9,23,Monday,11,50,,,wet,,,vona
2019,9,23,Monday,13,27,,,wet,,,vona
2019,9,23,Monday,15,20,,,wet,,,vona
2019,9,23,Monday,9,15,,,bottle,2,oz,vona
2019,9,23,Monday,11,15,,,bottle,4.5,oz,vona
2019,9,23,Monday,13,15,,,bottle,2,oz,vona
2019,9,23,Monday,11,17,11,32,nap,,,vona
2019,9,23,Monday,6,45,,,arrive,,,NA
2019,9,20,Friday,7,15,,,wet,,,vona
2019,9,20,Friday,9,0,,,wet,,,vona
2019,9,20,Friday,11,0,,,wet,,,vona
2019,9,20,Friday,13,0,,,wet,,,vona
2019,9,20,Friday,14,17,,,wet,,,vona
2019,9,20,Friday,14,47,,,bowel,,,vona
2019,9,20,Friday,8,30,,,bottle,2.5,oz,vona
2019,9,20,Friday,11,30,,,bottle,1,oz,vona
2019,9,20,Friday,13,0,,,bottle,2,oz,vona
2019,9,20,Friday,15,0,,,bottle,2,oz,vona
2019,9,20,Friday,9,40,10,23,nap,,,vona
2019,9,20,Friday,13,21,14,14,nap,,,vona
2019,9,20,Friday,6,45,,,arrive,,,NA
2019,9,18,Wednesday,7,30,,,wet,,,ap
2019,9,18,Wednesday,9,24,,,bowel,,,ap
2019,9,18,Wednesday,11,10,,,wet,,,ap
2019,9,18,Wednesday,13,0,,,wet,,,ap
2019,9,18,Wednesday,13,10,,,bowel,,,ap
2019,9,18,Wednesday,15,0,,,dry,,,ap
2019,9,18,Wednesday,8,20,,,bottle,2,oz,ap
2019,9,18,Wednesday,10,30,,,bottle,1,oz,ap
2019,9,18,Wednesday,12,30,,,bottle,3,oz,ap
2019,9,18,Wednesday,14,30,,,bottle,1.5,oz,ap
2019,9,18,Wednesday,10,40,11,2,nap,,,ap
2019,9,18,Wednesday,14,35,14,45,nap,,,ap
2019,8,27,Tuesday,8,0,,,wet,,,jr
2019,8,27,Tuesday,10,0,,,bowel,,,jr
2019,8,27,Tuesday,10,35,,,bowel,,,jr
2019,8,27,Tuesday,12,40,,,wet,,,jr
2019,8,27,Tuesday,13,45,,,bowel,,,jr
2019,8,27,Tuesday,8,15,,,bottle,2,oz,jr
2019,8,27,Tuesday,9,0,,,bottle,3,oz,jr
2019,8,27,Tuesday,11,0,,,bottle,2,oz,jr
2019,8,27,Tuesday,13,5,,,bottle,1.5,oz,jr
2019,8,27,Tuesday,14,50,,,bottle,4,oz,jr
2019,8,27,Tuesday,11,10,12,40,nap,,,jr
2019,8,27,Tuesday,14,10,14,45,nap,,,jr
2019,8,26,Monday,7,10,,,wet,,,vona
2019,8,26,Monday,10,15,,,bowel,,,jr
2019,8,26,Monday,11,40,,,bowel,,,vona
2019,8,26,Monday,13,32,,,bowel,,,vona
2019,8,26,Monday,14,32,,,bowel,,,vona
2019,8,26,Monday,15,10,,,bowel,,,vona
2019,8,26,Monday,7,45,,,bottle,3,oz,vona
2019,8,26,Monday,10,48,,,bottle,2,oz,vona
2019,8,26,Monday,11,40,,,bottle,2,oz,vona
2019,8,26,Monday,14,13,,,bottle,5,oz,vona
2019,8,26,Monday,8,40,10,10,nap,,,vona
2019,8,26,Monday,12,45,13,20,nap,,,vona
2019,8,26,Monday,6,35,,,arrive,,,NA
2019,9,9,Monday,7,0,,,wet,,,vona
2019,9,9,Monday,8,21,,,bowel,,,vona
2019,9,9,Monday,10,25,,,wet,,,vona
2019,9,9,Monday,11,21,,,bowel,,,vona
2019,9,9,Monday,13,25,,,wet,,,vona
2019,9,9,Monday,15,15,,,wet,,,vona
2019,9,9,Monday,7,40,,,bottle,3,oz,vona
2019,9,9,Monday,10,48,,,bottle,3,oz,vona
2019,9,9,Monday,13,35,,,bottle,2,oz,vona
2019,9,9,Monday,8,46,9,43,nap,,,vona
2019,9,9,Monday,12,38,13,23,nap,,,vona
2019,9,9,Monday,6,43,,,arrive,,,NA
2019,8,30,Friday,6,45,,,arrive,,,NA
2019,8,30,Friday,7,10,,,wet,,,vona
2019,8,30,Friday,8,45,,,wet,,,vona
2019,8,30,Friday,9,9,,,bowel,,,vona
2019,8,30,Friday,11,35,,,wet,,,vona
2019,8,30,Friday,12,50,,,wet,,,vona
2019,8,30,Friday,14,16,,,bowel,,,vona
2019,8,30,Friday,15,20,,,wet,,,vona
2019,8,30,Friday,8,50,,,bottle,3,oz,vona
2019,8,30,Friday,12,55,,,bottle,3,oz,vona
2019,8,30,Friday,14,20,,,bottle,2,oz,vona
2019,8,30,Friday,15,0,,,bottle,2,oz,vona
2019,8,30,Friday,7,30,8,42,nap,,,vona
2019,8,30,Friday,10,21,11,34,nap,,,vona
2019,8,30,Friday,14,27,14,37,nap,,,vona
2019,9,11,Wednesday,7,0,,,arrive,,,NA
2019,9,11,Wednesday,7,10,,,wet,,,vona
2019,9,11,Wednesday,9,5,,,wet,,,vona
2019,9,11,Wednesday,9,37,,,bowel,,,vona
2019,9,11,Wednesday,11,0,,,bowel,,,vona
2019,9,11,Wednesday,13,0,,,wet,,,vona
2019,9,11,Wednesday,15,0,,,wet,,,vona
2019,9,11,Wednesday,8,45,,,bottle,3,oz,vona
2019,9,11,Wednesday,12,15,,,bottle,3,oz,vona
2019,9,11,Wednesday,12,40,,,bottle,2,oz,vona
2019,9,11,Wednesday,13,50,,,bottle,2,oz,vona
2019,9,11,Wednesday,9,49,10,36,nap,,,vona
2019,9,11,Wednesday,11,49,12,5,nap,,,vona
2019,9,11,Wednesday,14,16,14,45,nap,,,vona
2019,9,5,Thursday,6,40,,,arrive,,,NA
2019,9,5,Thursday,7,10,,,bowel,,,vona
2019,9,5,Thursday,9,20,,,wet,,,vona
2019,9,5,Thursday,11,15,,,wet,,,vona
2019,9,5,Thursday,12,42,,,bowel,,,vona
2019,9,5,Thursday,14,48,,,bowel,,,vona
2019,9,5,Thursday,9,20,,,bottle,3,oz,vona
2019,9,5,Thursday,11,42,,,bottle,3,oz,vona
2019,9,5,Thursday,15,0,,,bottle,2,oz,vona
2019,9,5,Thursday,8,0,9,19,nap,,,vona
2019,9,5,Thursday,12,15,12,33,nap,,,vona
2019,9,5,Thursday,12,55,14,17,nap,,,vona
2019,9,16,Monday,7,10,,,arrive,,,NA
2019,9,16,Monday,7,20,,,dry,,,vona
2019,9,16,Monday,7,55,,,wet,,,vona
2019,9,16,Monday,8,52,,,bowel,,,vona
2019,9,16,Monday,11,0,,,wet,,,vona
2019,9,16,Monday,12,58,,,wet,,,vona
2019,9,16,Monday,15,0,,,wet,,,vona
2019,9,16,Monday,9,35,,,bottle,2,oz,vona
2019,9,16,Monday,10,55,,,bottle,2,oz,vona
2019,9,16,Monday,13,0,,,bottle,2.5,oz,vona
2019,9,16,Monday,15,0,,,bottle,3,oz,vona
2019,9,16,Monday,12,15,12,53,nap,,,vona
2019,8,23,Friday,6,48,,,arrive,,,NA
2019,8,23,Friday,7,19,,,wet,,,vona
2019,8,23,Friday,9,40,,,wet,,,vona
2019,8,23,Friday,11,15,,,wet,,,vona
2019,8,23,Friday,13,0,,,wet,,,vona
2019,8,23,Friday,8,38,,,bottle,3.5,oz,vona
2019,8,23,Friday,10,30,,,bottle,2,oz,vona
2019,8,23,Friday,12,45,,,bottle,3,oz,vona
2019,8,23,Friday,8,55,9,36,nap,,,vona
2019,8,23,Friday,11,52,12,46,nap,,,vona
2019,9,13,Friday,6,37,,,arrive,,,NA
2019,9,13,Friday,6,55,,,wet,,,vona
2019,9,13,Friday,9,20,,,wet,,,vona
2019,9,13,Friday,11,0,,,bowel,,,vona
2019,9,13,Friday,12,47,,,bowel,,,vona
2019,9,13,Friday,14,17,,,bowel,,,vona
2019,9,13,Friday,15,46,,,bowel,,,vona
2019,9,13,Friday,8,10,,,bottle,2,oz,vona
2019,9,13,Friday,11,0,,,bottle,2.5,oz,vona
2019,9,13,Friday,13,0,,,bottle,2,oz,vona
2019,9,13,Friday,13,10,,,bottle,2,oz,vona
2019,9,13,Friday,8,22,9,17,nap,,,vona
2019,9,13,Friday,11,45,12,15,nap,,,vona
2019,9,12,Thursday,6,40,,,arrive,,,NA
2019,9,12,Thursday,6,50,,,bowel,,,vona
2019,9,12,Thursday,8,45,,,wet,,,vona
2019,9,12,Thursday,10,45,,,wet,,,vona
2019,9,12,Thursday,13,12,,,wet,,,vona
2019,9,12,Thursday,13,38,,,bowel,,,vona
2019,9,12,Thursday,14,18,,,bowel,,,vona
2019,9,12,Thursday,15,15,,,wet,,,vona
2019,9,12,Thursday,8,50,,,bottle,3.5,oz,vona
2019,9,12,Thursday,12,0,,,bottle,1,oz,vona
2019,9,12,Thursday,13,15,,,bottle,2.5,oz,vona
2019,9,12,Thursday,9,8,9,46,nap,,,vona
2019,9,12,Thursday,12,7,13,5,nap,,,vona
2019,9,4,Wednesday,6,55,,,arrive,,,NA
2019,9,4,Wednesday,7,0,,,wet,,,vona
2019,9,4,Wednesday,7,52,,,bowel,,,vona
2019,9,4,Wednesday,9,45,,,wet,,,vona
2019,9,4,Wednesday,10,35,,,bowel,,,vona
2019,9,4,Wednesday,13,0,,,wet,,,vona
2019,9,4,Wednesday,13,35,,,bowel,,,vona
2019,9,4,Wednesday,14,55,,,bowel,,,vona
2019,9,4,Wednesday,9,33,,,bottle,3.5,oz,vona
2019,9,4,Wednesday,13,0,,,bottle,3,oz,vona
2019,9,4,Wednesday,8,4,9,19,nap,,,vona
2019,9,4,Wednesday,11,7,12,56,nap,,,vona
2019,9,10,Tuesday,6,45,,,dry,,,ap
2019,9,10,Tuesday,8,10,,,wet,,,ap
2019,9,10,Tuesday,9,45,,,wet,,,ap
2019,9,10,Tuesday,11,15,,,bowel,,,ap
2019,9,10,Tuesday,12,45,,,bowel,,,ap
2019,9,10,Tuesday,14,15,,,bowel,,,ap
2019,9,10,Tuesday,8,0,,,bottle,2,oz,ap
2019,9,10,Tuesday,10,30,,,bottle,3,oz,ap
2019,9,10,Tuesday,13,15,,,bottle,3.5,oz,ap
2019,9,10,Tuesday,9,0,9,40,nap,,,ap
2019,9,10,Tuesday,12,0,12,35,nap,,,ap
2019,9,6,Friday,6,40,,,arrive,,,NA
2019,9,6,Friday,7,5,,,wet,,,vona
2019,9,6,Friday,9,35,,,wet,,,vona
2019,9,6,Friday,9,59,,,bowel,,,vona
2019,9,6,Friday,11,25,,,bowel,,,ap
2019,9,6,Friday,12,57,,,bowel,,,vona
2019,9,6,Friday,15,0,,,wet,,,vona
2019,9,6,Friday,8,5,,,bottle,2,oz,vona
2019,9,6,Friday,12,30,,,bottle,3,oz,vona
2019,9,6,Friday,15,0,,,bottle,2.5,oz,vona
2019,9,6,Friday,8,48,9,32,nap,,,vona
2019,9,6,Friday,11,34,12,10,nap,,,vona
2019,9,6,Friday,14,10,14,40,nap,,,vona
2019,9,29,Sunday,,,,,intro_grass,,,jsmkch
2019,9,22,Sunday,,,,,skill_crawl_army,,,jsmkch
2019,8,19,Monday,,,,,trait_mass,7.82,kg,rainbow
2019,6,24,Monday,,,,,trait_mass,6.69,kg,rainbow
2019,5,20,Monday,,,,,trait_mass,5.53,kg,rainbow
2019,4,30,Tuesday,,,,,trait_mass,4.74,kg,rainbow
2019,4,26,Friday,,,,,trait_mass,4.39,kg,rainbow
2019,4,22,Monday,,,,,trait_mass,4.11,kg,rainbow
2019,4,20,Saturday,,,,,trait_mass,4.14,kg,rainbow
2019,4,18,Thursday,,,,,trait_mass,4.39,kg,rainbow
2019,8,19,Monday,,,,,trait_length,68.6,cm,rainbow
2019,6,24,Monday,,,,,trait_length,65.4,cm,rainbow
2019,5,20,Monday,,,,,trait_length,61.6,cm,rainbow
2019,4,30,Tuesday,,,,,trait_length,56.5,cm,rainbow
2019,4,26,Friday,,,,,trait_length,56.1,cm,rainbow
2019,4,22,Monday,,,,,trait_length,54.6,cm,rainbow
2019,8,19,Monday,,,,,trait_head_circum,42.5,cm,rainbow
2019,6,24,Monday,,,,,trait_head_circum,40.6,cm,rainbow
2019,5,20,Monday,,,,,trait_head_circum,38.7,cm,rainbow
2019,4,22,Monday,,,,,trait_head_circum,33,cm,rainbow
2019,10,14,Monday,,,,,skill_situp_partial,,,jsmkch
2019,10,1,Tuesday,,,,,intro_solidfood_regularly,,,jsmkch
2019,9,2,Monday,,,,,intro_solidfood,,,jsmkch
2019,9,30,Monday,,,,,trait_mass,8.56,kg,rainbow
2019,9,30,Monday,,,,,temperature,102.1,degreesF,rainbow
2019,9,25,Wednesday,,,,,trait_mass,8.48,kg,rainbow
2019,9,25,Wednesday,14,20,,,temperature,99.3,degreesF,rainbow
2019,9,25,Wednesday,15,30,,,temperature,98.2,degreesF,rainbow
2019,9,26,Thursday,18,,,,amoxicilin,5,ml,jsmkch
2019,9,27,Friday,6,,,,amoxicilin,5,ml,jsmkch
2019,9,27,Friday,18,,,,amoxicilin,5,ml,jsmkch
2019,9,28,Saturday,6,,,,amoxicilin,5,ml,jsmkch
2019,9,29,Sunday,6,,,,amoxicilin,5,ml,jsmkch
2019,9,29,Sunday,18,,,,amoxicilin,5,ml,jsmkch
2019,9,30,Monday,6,,,,amoxicilin,5,ml,jsmkch
2019,9,30,Monday,18,,,,amoxicilin,5,ml,jsmkch
2019,10,1,Tuesday,6,,,,amoxicilin,5,ml,jsmkch
2019,10,1,Tuesday,18,,,,amoxicilin,5,ml,jsmkch
2019,10,2,Wednesday,6,,,,amoxicilin,5,ml,jsmkch
2019,10,2,Wednesday,18,,,,amoxicilin,5,ml,jsmkch
2019,10,3,Thursday,6,,,,amoxicilin,5,ml,jsmkch
2019,10,3,Thursday,18,,,,amoxicilin,5,ml,jsmkch
2019,10,4,Friday,6,,,,amoxicilin,5,ml,jsmkch
2019,10,4,Friday,18,,,,amoxicilin,5,ml,jsmkch
2019,10,5,Saturday,6,,,,amoxicilin,5,ml,jsmkch
2019,10,5,Saturday,18,,,,amoxicilin,5,ml,jsmkch
2019,10,21,Monday,7,26,,,wet,,,kc
2019,10,21,Monday,9,15,,,wet,,,vona
2019,10,21,Monday,11,10,,,wet,,,vona
2019,10,21,Monday,13,33,,,wet,,,vona
2019,10,21,Monday,13,42,,,bowel,,,vona
2019,10,21,Monday,8,,,,caregiver_change,,,kc_vona
2019,10,21,Monday,8,1,,,bottle,2,oz,vona
2019,10,21,Monday,9,0,,,bottle,2.5,oz,vona
2019,10,21,Monday,11,45,,,bottle,2,oz,vona
2019,10,21,Monday,14,15,,,bottle,2.5,oz,vona
2019,10,21,Monday,9,27,10,0,nap,,,vona
2019,10,21,Monday,13,0,13,30,nap,,,vona
2019,10,21,Monday,,,,,skill_pullup,,,vona_kch
2019,10,22,Tuesday,7,0,,,dry,,,ap
2019,10,22,Tuesday,8,5,,,wet,,,ap
2019,10,22,Tuesday,10,35,,,wet,,,ap
2019,10,22,Tuesday,12,0,,,bowel,,,jd
2019,10,22,Tuesday,13,30,,,wet,,,ap
2019,10,22,Tuesday,14,45,,,wet,,,ap
2019,10,22,Tuesday,8,0,,,bottle,2,oz,ap
2019,10,22,Tuesday,10,40,,,bottle,3,oz,ap
2019,10,22,Tuesday,13,0,,,bottle,2,oz,ap
2019,10,22,Tuesday,9,17,10,30,nap,,,ap
2019,10,22,Tuesday,13,10,13,25,nap,,,ap
2019,10,22,Tuesday,19,0,,,intro_sleeping_nursery,,,jsmkch
2019,10,4,Friday,,,,,trait_tooth_incisor_lower_right,,,jsmkch
2019,10,23,Wednesday,,,,,trait_tooth_incisor_lower_left,,,jsmkch
2019,10,23,Wednesday,7,35,,,dry,,,kc
2019,10,23,Wednesday,9,0,,,wet,,,ap
2019,10,23,Wednesday,10,45,,,wet,,,ap
2019,10,23,Wednesday,13,0,,,wet,,,ap
2019,10,23,Wednesday,14,50,,,wet,,,ap
2019,10,23,Wednesday,8,0,,,bottle,2,oz,ap
2019,10,23,Wednesday,8,45,,,bottle,1,oz,ap
2019,10,23,Wednesday,10,15,,,bottle,2,oz,ap
2019,10,23,Wednesday,11,10,,,bottle,3,oz,ap
2019,10,23,Wednesday,13,45,,,bottle,2.5,oz,ap
2019,10,23,Wednesday,9,0,9,45,nap,,,ap
2019,10,23,Wednesday,11,32,12,55,nap,,,ap
2019,10,24,Thursday,7,30,,,dry,,,ap
2019,10,24,Thursday,8,15,,,bowel,,,ap
2019,10,24,Thursday,10,15,,,wet,,,ap
2019,10,24,Thursday,12,40,,,wet,,,ap
2019,10,24,Thursday,14,40,,,wet,,,ap
2019,10,24,Thursday,8,5,,,bottle,1.5,oz,ap
2019,10,24,Thursday,10,15,,,bottle,3,oz,ap
2019,10,24,Thursday,13,10,,,bottle,2,oz,ap
2019,10,24,Thursday,13,45,,,bottle,3,oz,ap
2019,10,24,Thursday,14,30,,,bottle,2.5,oz,ap
2019,10,24,Thursday,15,50,,,bottle,2.5,oz,ap
2019,10,24,Thursday,8,45,9,15,nap,,,ap
2019,10,24,Thursday,11,10,12,40,nap,,,ap
2019,10,25,Friday,7,15,,,dry,,,kc
2019,10,25,Friday,8,15,,,wet,,,ap
2019,10,25,Friday,10,10,,,wet,,,vona
2019,10,25,Friday,12,17,,,wet,,,vona
2019,10,25,Friday,14,15,,,wet,,,vona
2019,10,25,Friday,16,30,,,wet,,,vona
2019,10,25,Friday,8,0,,,bottle,1.5,oz,ap
2019,10,25,Friday,9,15,,,bottle,3,oz,vona
2019,10,25,Friday,11,0,,,bottle,3,oz,vona
2019,10,25,Friday,12,45,,,bottle,3,oz,vona
2019,10,25,Friday,14,15,,,bottle,2,oz,vona
2019,10,25,Friday,15,0,,,bottle,2,oz,vona
2019,10,25,Friday,11,40,12,14,nap,,,vona
2019,10,25,Friday,15,10,,,nap,,,vona
